target,tier,query_class,response_format,concurrency,repetition,requests,rps,window_seconds,coverage,cpu_seconds,cpu_cores,cpu_seconds_per_request,mem_mean_bytes,mem_peak_bytes,api_workers
egernia-local-equalcpu,,mix,csv,4,1,20732,172.731,120.053765,0.985588,406.281753,3.384165,0.019597,3339499861.333333,3353587712,8
egernia-local-equalcpu,,mix,csv,4,2,20509,170.767,120.1218,0.983234,406.701307,3.385741,0.01983,3286904661.333333,3360575488,8
egernia-local-equalcpu,,mix,csv,4,3,20072,167.246,120.020065,0.983597,393.669689,3.280032,0.019613,3280365568.0,3284054016,8
egernia-local-equalcpu,,mix,csv,8,1,29852,248.731,120.073649,0.983411,637.945633,5.312953,0.02137,3228336298.666667,3277783040,8
egernia-local-equalcpu,,mix,csv,8,2,27814,231.528,120.27486,0.981821,599.545284,4.984793,0.021556,3256125952.0,3271856128,8
egernia-local-equalcpu,,mix,csv,8,3,28282,235.564,120.154692,0.939654,604.862028,5.034028,0.021387,3198442451.478261,3201236992,8
egernia-local-equalcpu,,Q01,votable,1,1,19858,165.481,120.001295,0.946177,107.19521,0.893284,0.005398,3389738473.73913,3400691712,8
egernia-local-equalcpu,,Q01,votable,1,2,19995,166.62,120.003487,0.986526,108.039742,0.900305,0.005403,3329242453.333333,3329429504,8
egernia-local-equalcpu,,Q01,votable,1,3,20027,166.888,120.002471,0.944212,109.175828,0.90978,0.005451,3329939188.869565,3337170944,8
egernia-local-equalcpu,,Q01,votable,16,1,95563,796.273,120.021379,0.944047,730.232372,6.084186,0.007641,2820787511.652174,2826342400,8
egernia-local-equalcpu,,Q01,votable,16,2,96638,805.231,120.016488,0.988738,739.987613,6.165716,0.007657,2789785258.666667,2791337984,8
egernia-local-equalcpu,,Q01,votable,16,3,93489,778.984,120.021797,0.988559,719.291288,5.993006,0.007694,2796092074.666667,2796744704,8
egernia-local-equalcpu,,Q01,votable,32,1,88133,734.172,120.049565,0.949198,738.695615,6.153255,0.008382,2815334489.043478,2826797056,8
egernia-local-equalcpu,,Q01,votable,32,2,91428,761.726,120.044747,0.948669,765.310106,6.375207,0.008371,2829102925.913043,2830123008,8
egernia-local-equalcpu,,Q01,votable,32,3,90511,754.098,120.035526,0.952443,766.662046,6.38696,0.00847,2846534789.565217,2859728896,8
egernia-local-equalcpu,,Q01,votable,4,1,41124,342.665,120.016781,0.943387,260.598774,2.171353,0.006337,3212696175.304348,3224866816,8
egernia-local-equalcpu,,Q01,votable,4,2,54510,454.228,120.011043,0.945228,332.899741,2.773909,0.006107,3192504141.913043,3201085440,8
egernia-local-equalcpu,,Q01,votable,4,3,55198,459.952,120.028476,0.98532,333.600713,2.779346,0.006044,3026337450.666667,3042701312,8
egernia-local-equalcpu,,Q01,votable,8,1,68887,573.982,120.019408,0.986597,477.158766,3.97568,0.006927,2990654464.0,3000713216,8
egernia-local-equalcpu,,Q01,votable,8,2,68569,571.338,120.016879,0.942515,468.61755,3.904597,0.006834,2923256609.391304,2924343296,8
egernia-local-equalcpu,,Q01,votable,8,3,69267,577.157,120.014012,0.98504,477.311178,3.977129,0.006891,2924020736.0,2925088768,8
egernia-local-equalcpu,,Q02,votable,1,1,7608,63.395,120.008678,0.945639,130.825236,1.090131,0.017196,2879831707.826087,2880843776,8
egernia-local-equalcpu,,Q02,votable,1,2,7620,63.498,120.003782,0.943124,131.098814,1.092456,0.017205,2872128734.608696,2884730880,8
egernia-local-equalcpu,,Q02,votable,1,3,7734,64.441,120.016764,0.985693,131.73754,1.097659,0.017034,2877009920.0,2878119936,8
egernia-local-equalcpu,,Q02,votable,16,1,37383,311.394,120.097855,0.941819,849.17739,7.070712,0.022716,2927365075.478261,2934378496,8
egernia-local-equalcpu,,Q02,votable,16,2,37518,312.553,120.039013,0.942742,855.206399,7.124404,0.022795,2928774455.652174,2935971840,8
egernia-local-equalcpu,,Q02,votable,16,3,35633,296.65,120.12426,0.98418,808.04328,6.726728,0.022677,2934429184.0,2947342336,8
egernia-local-equalcpu,,Q02,votable,32,1,37689,313.924,120.057927,0.946956,910.075869,7.580306,0.024147,3047739035.826087,3059068928,8
egernia-local-equalcpu,,Q02,votable,32,2,38338,319.338,120.057336,0.949418,930.464292,7.750166,0.02427,3092744993.391304,3109556224,8
egernia-local-equalcpu,,Q02,votable,32,3,38154,317.785,120.062185,0.95017,924.69319,7.701785,0.024236,3107805985.391304,3124006912,8
egernia-local-equalcpu,,Q02,votable,4,1,21713,180.921,120.024069,0.942785,411.509298,3.428556,0.018952,2889431485.217391,2911485952,8
egernia-local-equalcpu,,Q02,votable,4,2,21978,183.105,120.032707,0.986013,416.922912,3.473411,0.01897,2897588224.0,2903261184,8
egernia-local-equalcpu,,Q02,votable,4,3,20210,168.385,120.044646,0.941019,382.704436,3.188018,0.018936,2898948274.086957,2916413440,8
egernia-local-equalcpu,,Q02,votable,8,1,28937,241.088,120.031121,0.942513,595.62098,4.962221,0.020583,2913838302.608696,2921324544,8
egernia-local-equalcpu,,Q02,votable,8,2,27961,232.949,120.04481,0.942583,576.712192,4.804141,0.020626,2925242635.130435,2960977920,8
egernia-local-equalcpu,,Q02,votable,8,3,28128,234.356,120.03919,0.986068,583.400692,4.860085,0.020741,2938704725.333333,2948849664,8
egernia-local-equalcpu,,Q03,votable,1,1,4086,34.049,120.003806,0.944998,126.826167,1.056851,0.031039,3084495471.304348,3097620480,8
egernia-local-equalcpu,,Q03,votable,1,2,4152,34.574,120.08878,0.943359,126.661117,1.054729,0.030506,3084589323.130435,3085430784,8
egernia-local-equalcpu,,Q03,votable,1,3,4106,34.187,120.104467,0.941167,126.757911,1.055397,0.030871,3022188009.73913,3023671296,8
egernia-local-equalcpu,,Q03,votable,16,1,22241,184.994,120.255161,0.941041,887.018119,7.376133,0.039882,2948626521.043478,2960486400,8
egernia-local-equalcpu,,Q03,votable,16,2,22353,186.055,120.168895,0.943624,894.666,7.445071,0.040024,2943048837.565217,2946195456,8
