target,server,query_class,response_format,concurrency,repetition,requests,error_fraction,rps,latency_p50_s,latency_p95_s,ttfb_p95_s,mean_response_bytes,generator_cpu_peak,generator_guard_ok,tier
egernia-scaling3,egernia,Q13,votable,8,2,2004,0.0,33.286,0.23754,0.31407,0.313213,4628.5,0.025,True,16
egernia-scaling3,egernia,Q13,votable,8,3,2005,0.0,33.32,0.237673,0.316639,0.315965,4628.6,0.025,True,16
egernia-scaling3,egernia,mix,votable,32,1,18995,0.0,316.203,0.099256,0.129475,0.117882,58098.9,0.155,True,16
egernia-scaling3,egernia,mix,votable,32,2,19008,0.0,316.456,0.09888,0.129519,0.118097,57939.9,0.14,True,16
egernia-scaling3,egernia,mix,votable,32,3,18939,0.0,315.339,0.099434,0.130316,0.118846,58718.8,0.145,True,16
egernia-scaling3,egernia,mix,votable,8,1,20807,0.0,346.587,0.022141,0.036549,0.03342,58235.7,0.22,True,16
egernia-scaling3,egernia,mix,votable,8,2,20777,0.0,346.22,0.022175,0.036618,0.033638,57647.2,0.22,True,16
egernia-scaling3,egernia,mix,votable,8,3,20773,0.0,346.103,0.022322,0.032368,0.029131,58942.1,0.185,True,16
argus-scaling3,argus,Q01,csv,32,1,50358,0.0,838.904,0.036467,0.043116,0.035625,1003.0,0.589,True,24
argus-scaling3,argus,Q01,csv,32,2,51622,0.0,860.019,0.036319,0.042681,0.035297,1003.0,0.585,True,24
argus-scaling3,argus,Q01,csv,32,3,61764,0.0,1028.924,0.032329,0.040938,0.033816,1003.0,0.88,False,24
argus-scaling3,argus,Q01,csv,8,1,32920,0.0,548.564,0.01428,0.017168,0.01381,1003.0,0.445,True,24
argus-scaling3,argus,Q01,csv,8,2,32745,0.0,545.615,0.014356,0.017362,0.013958,1003.0,0.43,True,24
argus-scaling3,argus,Q01,csv,8,3,32850,0.0,547.414,0.014311,0.017252,0.01387,1003.0,0.43,True,24
argus-scaling3,argus,Q05,csv,32,1,1155,0.0,18.699,1.658555,1.906716,1.903832,3858.8,0.03,True,24
argus-scaling3,argus,Q05,csv,32,2,1161,0.0,18.794,1.653375,1.892594,1.887737,3787.9,0.03,True,24
argus-scaling3,argus,Q05,csv,32,3,1142,0.0,18.526,1.675116,1.95425,1.951431,3794.4,0.03,True,24
argus-scaling3,argus,Q05,csv,8,1,1118,0.0,18.523,0.410079,0.549659,0.546974,3886.8,0.025,True,24
argus-scaling3,argus,Q05,csv,8,2,1110,0.0,18.379,0.4087,0.558182,0.555729,3859.9,0.02,True,24
argus-scaling3,argus,Q05,csv,8,3,1168,0.0,19.346,0.411557,0.424149,0.421337,3829.8,0.02,True,24
argus-scaling3,argus,Q11,csv,32,1,2567,0.0,42.324,0.753293,0.811102,0.624046,2996430.4,0.5,True,24
argus-scaling3,argus,Q11,csv,32,2,2562,0.0,42.201,0.756279,0.81323,0.623408,2995579.5,0.495,True,24
